reference,input,Nye score,tips kept 
 Looney , iqtree_russ_jgi ,0.6240741,12
Looney , iqtree_russ_looney_outgroup ,0.6018398,13
Looney , iqtree_russ_full ,0.7675116,232
Looney_unrooted , iqtree_russ_full_its2.treefile ,0.7120417,220
Looney_unrooted_unedited , iqtree_russ_full_its2.treefile ,0.7058282,246
Looney_unrooted_unedited , iqtree_russ_full_its2.treefile ,0.7086218,255
Looney_unrooted_unedited , russulaceae_genus_subtrees.nwk ,0.6917803,254
Looney_unrooted_unedited , lactarius_its2.treefile , 0.674956 , 54 
Looney_unrooted_unedited , lactifluus_its2.treefile , 0.6531746 , 9 
Looney_unrooted_unedited , multifurca_its2.treefile , 0.8333333 , 7 
Looney_unrooted_unedited , russula_its2.treefile , 0.693417 , 177 
Looney_unrooted_unedited , russulaceae_genus_subtrees.nwk , 0.696672 , 254 
